         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/http_parser.py:954(__init__)
       60    0.000    0.000    0.005    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/resolver.py:33(resolve)
       35    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      276    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/tasks.py:35(current_task)
       33    0.000    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1102(_response_eof)
       20    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_proto.py:77(connection_lost)
       61    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:429(create_task)
       35    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/yarl/_parse.py:25(split_url)
       46    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
       35    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:696(_release)
      177    0.000    0.000    0.014    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1214(read)
      136    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:69(__getitem__)
       35    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_proto.py:169(set_response_params)
       26    0.000    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohappyeyeballs/_staggered.py:47(staggered_race)
      224    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/socket.py:99(_intenum_converter)
       62    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/connector.py:914(_resolve_host)
      232    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/enum.py:686(__call__)
      206    0.000    0.000    0.001    0.000 {built-in method _heapq.heappush}
      136    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:180(get_key)
       65    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:517(register)
      194    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:491(__setitem__)
       32    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:191(_set_nodelay)
      736    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       64    0.000    0.000    0.009    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:1124(_create_connection_transport)
       55    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/cookiejar.py:173(_do_expiration)
      379    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/events.py:119(__lt__)
      148    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:490(_set_state)
      232    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/enum.py:1093(__new__)
      694    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:292(begin_http_chunk_receiving)
      165    0.000    0.000    0.049    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/server.py:29(improved_endpoint_count_https)
      166    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       64    0.000    0.000    0.009    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:987(create_connection)
       64    0.000    0.000    0.007    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohappyeyeballs/impl.py:139(_connect_sock)
